0.250,0.250,0.250,0.250,3
0.113,0.660,0.113,0.113,1
0.107,0.680,0.107,0.107,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.490,0.170,0.170,0.170,0
0.120,0.640,0.120,0.120,1
0.013,0.013,0.960,0.013,2
0.250,0.250,0.250,0.250,3
0.097,0.097,0.710,0.097,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.003,0.003,0.990,0.003,2
0.250,0.250,0.250,0.250,3
0.057,0.057,0.830,0.057,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.053,0.053,0.840,0.053,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.490,0.170,0.170,0.170,0
0.450,0.183,0.183,0.183,0
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.133,0.600,0.133,0.133,1
0.510,0.163,0.163,0.163,0
0.250,0.250,0.250,0.250,3
0.580,0.140,0.140,0.140,0
0.250,0.250,0.250,0.250,3
0.140,0.580,0.140,0.140,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.480,0.173,0.173,0.173,0
0.250,0.250,0.250,0.250,3
0.113,0.660,0.113,0.113,1
0.510,0.163,0.163,0.163,0
0.073,0.073,0.780,0.073,2
0.163,0.510,0.163,0.163,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.410,0.197,0.197,0.197,0
0.250,0.250,0.250,0.250,3
0.143,0.570,0.143,0.143,1
0.410,0.197,0.197,0.197,0
0.073,0.073,0.780,0.073,2
0.250,0.250,0.250,0.250,3
0.107,0.680,0.107,0.107,1
0.480,0.173,0.173,0.173,0
0.170,0.490,0.170,0.170,1
0.250,0.250,0.250,0.250,3
0.197,0.410,0.197,0.197,1
0.047,0.047,0.860,0.047,2
0.250,0.250,0.250,0.250,3
0.070,0.070,0.790,0.070,2
0.250,0.250,0.250,0.250,3
0.520,0.160,0.160,0.160,0
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.070,0.070,0.790,0.070,2
0.250,0.250,0.250,0.250,3
0.090,0.090,0.730,0.090,2
0.480,0.173,0.173,0.173,0
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.123,0.630,0.123,0.123,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.037,0.037,0.890,0.037,2
0.133,0.133,0.600,0.133,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.163,0.510,0.163,0.163,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.560,0.147,0.147,0.147,0
0.250,0.250,0.250,0.250,3
0.160,0.520,0.160,0.160,1
0.100,0.100,0.700,0.100,2
0.143,0.570,0.143,0.143,1
0.120,0.640,0.120,0.120,1
0.250,0.250,0.250,0.250,3
0.040,0.040,0.880,0.040,2
0.250,0.250,0.250,0.250,3
0.580,0.140,0.140,0.140,0
0.530,0.157,0.157,0.157,0
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.420,0.193,0.193,0.193,0
0.420,0.193,0.193,0.193,0
0.570,0.143,0.143,0.143,0
0.160,0.520,0.160,0.160,1
0.250,0.250,0.250,0.250,3
0.137,0.590,0.137,0.137,1
0.250,0.250,0.250,0.250,3
0.110,0.670,0.110,0.110,1
0.250,0.250,0.250,0.250,3
0.490,0.170,0.170,0.170,0
0.060,0.060,0.820,0.060,2
0.250,0.250,0.250,0.250,3
0.480,0.173,0.173,0.173,0
0.250,0.250,0.250,0.250,3
0.053,0.053,0.840,0.053,2
0.077,0.077,0.770,0.077,2
0.250,0.250,0.250,0.250,3
0.110,0.670,0.110,0.110,1
0.110,0.670,0.110,0.110,1
0.420,0.193,0.193,0.193,0
0.153,0.540,0.153,0.153,1
0.177,0.470,0.177,0.177,1
0.133,0.600,0.133,0.133,1
0.063,0.063,0.810,0.063,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.027,0.027,0.920,0.027,2
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.187,0.440,0.187,0.187,1
0.077,0.077,0.770,0.077,2
0.107,0.680,0.107,0.107,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.130,0.610,0.130,0.130,1
0.250,0.250,0.250,0.250,3
0.250,0.250,0.250,0.250,3
0.050,0.050,0.850,0.050,2
0.123,0.630,0.123,0.123,1
0.250,0.250,0.250,0.250,3
